Gender,HeadCircumference,ShoulderWidth,ChestWidth,Belly,Waist,Hips,ArmLength,ShoulderToWaist,WaistToKnee,LegLength,TotalHeight,Size
1,22,16,10,17,10,13,22,17,21,34,57,M
2,21,14,9,10,17,20,16,18,20,37,49,M
2,17,19,8,11,14,19,14,20,21,30,63,M
1,19,20,13,18,18,18,16,21,19,23,49,M
2,16,23,18,12,50,14,22,12,18,29,44,M
2,14,10,12,9,49,17,20,25,17,13,54,M
1,12,14,11,18,36,17,21,23,16,27,64,M
1,15,19,16,10,26,16,19,24,22,28,69,M
1,13,18,17,23,19,13,20,21,19,30,67,L
1,18,17,15,24,60,14,14,20,23,29,57,S
2,22,14,11,14,10,19,15,19,21,31,68,M
2,25,16,12,13,20,13,21,17,20,29,69,M
1,16,15,14,14,21,19,15,17,22,24,48,M
1,23,20,10,9,18,20,16,16,19,20,58,M
1,15,19,11,16,19,21,12,18,18,21,60,M
1,13,22,14,12,20,22,21,19,19,22,57,M
1,11,11,19,14,21,21,15,21,22,30,48,M
2,24,10,11,18,21,19,20,23,20,29,49,M
1,16,10,16,20,10,14,16,21,21,25,54,M
2,13,14,13,11,17,17,19,20,30,30,47,M
2,10,16,10,19,31,16,20,19,20,29,66,M
1,9,17,7,10,29,14,17,18,18,19,49,S
1,14,18,9,9,12,15,19,20,21,20,54,L
2,21,19,10,20,52,36,40,36,30,29,47,M
2,21,12,11,19,40,44,41,33,29,30,40,M
1,22,18,17,15,14,15,24,22,21,21,55,L
1,18,19,20,15,21,22,22,19,20,13,52,M
1,17,14,16,9,9,14,23,25,13,20,32,M
2,19,20,21,10,10,30,18,15,19,9,35,M
2,23,16,17,12,11,18,15,21,20,15,56,M
2,25,18,19,14,12,19,19,22,25,20,50,L
2,20,20,18,16,16,20,25,23,15,18,45,M
1,16,18,18,18,23,18,23,22,20,18,45,L
2,16,19,16,12,24,17,24,24,14,19,51,M
1,18,17,18,11,19,14,20,26,21,24,48,S
2,15,20,19,16,21,18,19,20,22,22,43,M
1,17,18,20,15,18,19,21,21,14,23,52,L
1,25,18,21,17,20,20,23,25,23,26,39,L
1,23,22,20,12,21,21,24,22,22,27,45,M
1,19,18,18,19,18,22,17,19,20,21,48,L
1,18,16,20,16,20,18,22,20,19,19,31,M
1,20,21,18,17,21,19,18,18,18,19,60,M
2,21,18,19,14,18,17,19,17,17,19,50,L
2,24,21,20,10,18,20,20,14,24,16,49,M
1,19,18,16,19,19,21,23,23,22,20,33,L
2,20,21,18,15,29,22,24,28,21,22,39,M
2,20,19,19,14,22,20,23,27,20,21,47,M
1,24,20,18,13,14,18,21,19,20,20,53,M
2,17,16,18,10,17,17,17,20,18,19,41,M
1,18,15,17,11,16,15,20,21,16,21,52,M
1,19,16,17,13,19,14,25,25,19,20,48,M
1,21,20,18,12,20,20,19,20,20,19,51,M
1,21,18,18,12,19,19,20,22,21,18,40,L
1,20,21,20,17,20,18,24,19,22,21,55,M
1,18,13,14,13,13,12,12,16,9,19,30,M
2,22,17,20,16,20,20,20,20,19,30,50,M
2,19,10,14,15,8,7,7,12,6,16,20,M
2,21,14,15,21,14,12,12,16,11,25,30,M
1,24,21,19,13,27,30,20,21,19,30,50,M
1,19,16,16,21,15,16,20,20,20,40,52,M
1,22,12,11,14,6,8,11,11,18,16,31,M
1,17,18,16,11,20,20,20,21,16,32,52,M
1,21,10,12,16,8,7,66,7,8,17,21,M
1,22,15,9,8,20,10,66,20,15,31,51,M
1,18,16,8,7,7,11,21,21,16,32,52,M
1,16,16,7,9,10,14,22,20,17,31,40,M
2,19,17,10,6,9,11,19,22,12,27,46,S
2,21,6,6,7,11,7,16,7,8,17,21,M
2,23,11,8,5,9,7,7,11,7,17,30,M
2,21,13,10,6,7,12,8,21,10,25,36,M
2,22,16,7,9,9,10,20,20,10,30,43,M
1,19,17,7,11,10,10,21,18,16,36,46,S
1,24,17,10,9,11,10,22,18,20,40,46,S
1,21,16,9,6,11,10,17,23,17,32,56,M
1,22,10,8,9,10,10,21,21,13,23,41,M
1,18,19,10,10,6,12,21,20,12,30,35,M
1,25,20,11,11,10,14,20,21,19,34,40,M
1,23,17,12,12,11,12,20,16,17,30,52,S
1,21,15,13,11,7,13,21,17,20,42,42,M
1,21,16,11,10,6,11,22,20,19,39,70,M
1,23,18,13,11,10,14,20,20,14,30,56,L
1,19,13,16,15,14,15,14,19,10,21,32,M
1,21,18,21,19,21,22,24,22,20,40,57,L
1,18,9,10,9,9,10,9,15,9,18,23,M
1,20,15,15,16,15,16,16,19,13,26,35,M
1,23,22,20,23,30,34,24,25,20,40,55,M
2,24,17,18,15,16,18,22,22,21,42,57,M
2,18,14,12,10,9,10,12,12,9,18,32,M
1,27,17,20,18,21,22,23,22,19,39,55,S
2,18,9,13,9,9,10,8,10,9,18,23,M
1,20,10,10,9,21,11,23,21,19,38,53,M
1,21,17,9,10,9,12,24,22,20,40,56,S
1,19,17,8,8,11,15,20,20,20,40,50,S
2,21,18,11,9,10,13,20,23,15,30,48,L
2,17,8,7,7,10,9,9,10,9,18,23,M
1,19,12,9,8,11,9,10,12,10,20,32,M
1,20,12,11,9,8,13,19,21,15,30,40,M
1,22,17,9,9,10,12,21,23,18,32,47,S
1,24,18,10,10,13,13,22,24,19,38,50,L
1,23,18,11,12,12,12,24,26,21,42,60,L
1,20,17,10,10,11,12,21,24,19,38,43,S
1,20,16,10,8,12,12,18,20,14,28,38,M
1,18,10,11,10,10,10,20,21,16,32,41,M
1,22,18,12,11,12,15,23,26,21,42,54,L
1,20,18,14,12,10,16,23,25,20,40,46,L
1,22,19,15,14,14,15,24,26,22,44,72,M
1,22,18,12,13,15,15,23,25,21,42,64,L
2,24,17,15,12,13,15,22,24,16,32,57,S
1,23,18,12,29,32,16,22,20,21,20,64,L
2,18,11,10,22,37,23,13,10,10,17,22,M
1,22,18,16,30,37,28,25,19,22,40,46,L
1,23,20,17,34,41,24,25,18,22,40,59,M
1,24,21,18,37,28,24,23,17,23,39,57,M
1,20,14,12,27,33,27,18,14,14,29,57,M
1,23,18,15,29,26,20,23,22,22,41,64,L
1,20,14,11,23,23,15,19,17,14,30,50,M
1,19,18,15,28,34,28,25,24,23,39,80,L
1,21,16,13,28,25,28,22,20,18,36,79,M
1,21,14,9,25,42,26,17,17,18,26,71,M
1,27,20,17,37,42,28,23,20,17,37,60,M
1,25,19,16,37,36,8,23,23,20,38,24,M
1,22,19,17,32,38,24,24,25,19,36,59,M
1,24,20,18,36,38,37,23,20,23,39,68,M
2,11,6,16,13,13,14,9,9,9,13,21,M
1,12,5,17,12,13,15,9,9,7,13,20,M
2,11,6,15,13,12,14,9,10,8,13,22,M
1,13,5,18,14,14,17,10,9,8,14,23,M
1,18,8,20,20,22,20,8,12,8,15,24,M
2,11,87,15,13,12,14,9,9,6,13,19,M
2,12,7,16,13,12,15,10,10,8,12,20,M
1,22,11,22,20,21,22,7,14,13,24,27,M
2,20,10,20,20,21,22,8,14,13,23,24,M
2,22,11,21,20,23,24,10,10,13,22,25,M
1,22,15,20,19,18,20,19,22,12,16,45,M
2,20,14,19,17,16,18,18,20,12,26,43,M
2,21,15,19,17,16,18,18,21,12,37,45,M
1,20,13,26,23,26,27,10,19,19,31,52,M
2,23,15,26,21,20,22,13,19,18,32,55,M
1,24,16,27,24,23,24,17,19,20,33,50,M
2,25,16,27,28,25,28,21,22,45,49,59,M
2,26,14,28,24,25,27,22,23,26,40,60,M
1,28,19,27,23,24,27,21,23,26,40,62,M
2,29,19,31,28,28,28,30,26,30,46,68,M
1,26,17,28,21,26,28,27,26,29,40,67,S
1,28,18,28,23,25,27,21,27,29,43,69,L
2,20,28,19,28,22,26,28,27,26,40,68,M
2,20,18,28,23,25,26,25,28,28,41,69,L
1,28,18,28,23,24,26,28,27,27,42,72,L
2,26,20,37,28,26,27,28,28,27,42,74,M
1,26,20,38,27,28,27,27,26,25,40,85,M
1,28,20,31,30,32,38,30,28,27,41,86,M
2,29,20,32,28,32,32,28,29,29,42,89,M
1,11,6,15,13,12,14,9,9,6,13,19,M
2,11,5,16,13,13,15,9,9,6,13,20,M
1,20,9,22,21,21,20,7,14,13,22,38,M
2,22,11,23,22,24,24,8,17,15,26,44,M
1,19,9,21,20,22,20,6,13,9,16,31,M
1,18,9,22,21,22,20,7,13,9,16,20,M
1,18,8,20,20,22,20,8,12,8,15,24,M
2,12,7,16,13,12,14,10,10,9,13,25,M
2,20,10,20,21,23,21,11,10,9,17,19,M
2,22,11,22,20,21,22,7,14,13,23,27,M
1,20,14,18,17,16,18,18,20,12,26,43,M
2,22,15,19,18,19,15,20,20,13,28,51,M
2,24,16,19,20,20,22,20,21,14,29,56,M
1,24,15,20,22,21,20,21,22,16,30,61,M
1,24,16,22,20,23,22,22,22,17,30,61,M
2,22,13,26,23,27,26,20,16,19,31,71,M
1,24,16,28,24,24,25,23,28,21,38,72,M
2,25,15,17,25,24,26,22,26,20,37,71,M
2,25,16,27,25,24,28,24,26,20,38,73,M
1,26,17,28,24,24,25,23,25,21,39,78,S
1,28,18,29,28,27,28,25,27,24,40,79,L
2,26,18,29,28,28,29,26,30,25,40,79,L
1,26,19,28,28,27,28,29,29,27,41,80,M
2,28,19,28,28,27,28,29,29,27,41,82,M
1,29,19,28,26,28,28,29,28,28,40,82,M
2,28,19,29,27,27,28,27,26,28,41,87,M
1,26,17,38,27,28,27,27,26,25,40,85,S
2,25,18,32,28,31,31,28,27,26,41,86,L
1,26,20,31,30,32,26,29,28,29,42,89,M
1,11,6,15,13,12,14,9,9,6,13,20,M
2,11,5,16,13,13,15,9,9,7,13,21,M
1,12,5,17,12,13,15,10,9,8,13,22,M
1,13,5,17,13,14,16,10,9,8,14,23,M
2,14,5,18,14,14,17,10,9,8,15,24,M
2,20,14,19,17,16,18,18,20,12,26,43,M
1,21,15,20,18,16,18,18,21,12,27,44,M
1,22,15,20,19,18,20,19,22,12,26,45,M
1,22,12,25,22,26,24,7,15,4,32,51,M
2,22,12,25,23,27,26,8,16,14,32,52,M
2,20,13,26,23,26,27,10,19,19,31,52,M
1,21,14,26,21,23,29,11,18,18,32,53,M
1,23,15,26,21,20,22,13,19,19,32,54,M
2,24,16,27,24,23,24,17,19,20,33,55,M
1,24,16,28,27,26,28,19,20,21,34,56,M
1,26,17,28,26,25,27,20,21,22,36,57,S
1,26,16,27,28,25,28,21,22,24,28,59,M
2,26,18,28,28,25,27,21,22,25,39,59,L
1,28,18,27,22,25,27,21,23,26,40,62,L
1,26,18,28,23,25,27,21,23,26,40,63,L
2,26,18,30,25,26,29,28,26,28,41,65,L
1,27,18,30,26,26,29,29,26,28,41,56,L
1,28,26,31,28,28,29,30,26,29,42,68,M
2,29,19,32,28,27,29,31,26,30,42,67,M
1,29,20,31,26,26,29,30,27,30,42,69,M
1,28,18,28,23,25,27,21,26,29,40,68,L
2,26,17,28,21,26,28,27,26,29,40,69,S
1,28,18,28,22,25,26,25,27,28,21,68,L
1,26,20,27,28,26,28,27,28,28,42,72,M
1,18,9,8,19,18,20,9,10,8,14,31,M
2,19,9,9,20,19,21,20,11,9,16,35,M
1,11,8,11,19,12,11,16,10,9,18,32,M
2,18,8,10,7,16,10,20,12,10,20,35,M
2,20,10,10,20,20,20,13,13,11,22,38,M
1,19,10,10,20,20,20,13,13,10,11,38,M
2,20,11,11,22,22,22,16,12,12,22,39,M
1,20,11,10,20,20,21,18,10,12,19,37,M
1,20,11,11,22,22,22,16,12,12,22,39,M
1,20,10,9,22,23,24,14,15,11,22,42,M
1,21,9,9,20,20,20,14,11,9,17,37,M
2,21,10,6,19,20,19,12,19,9,17,38,M
2,20,9,10,22,21,20,12,18,12,18,39,M
1,18,18,9,19,12,9,14,11,13,21,42,L
2,19,13,11,20,22,11,18,14,9,32,50,M
1,21,11,9,20,22,10,17,19,19,32,50,M
2,22,17,15,37,38,42,19,22,18,35,59,S
1,20,19,17,44,42,46,28,19,26,37,66,M
1,22,14,16,34,20,38,24,19,19,35,64,M
2,21,18,19,34,37,39,22,17,15,33,59,L
1,23,21,19,42,38,44,28,22,18,37,66,M
1,22,17,14,33,33,37,25,24,23,41,68,S
2,24,19,17,46,48,63,20,24,15,34,60,M
2,22,16,17,41,14,45,19,16,17,33,60,XS
2,22,18,16,45,47,62,19,21,17,33,62,L
1,22,18,14,45,45,46,25,27,22,39,70,L
1,23,19,15,37,36,39,24,22,20,36,65,M
1,22,18,16,36,39,41,24,31,25,39,68,L
1,24,21,20,47,45,44,23,30,23,38,67,M
1,22,18,16,36,39,41,24,31,25,39,68,L
1,22,21,18,45,43,45,22,32,23,36,64,M
1,23,17,16,40,39,40,25,30,24,37,64,S
1,25,19,17,42,44,44,24,26,27,40,69,M
1,22,18,14,45,45,46,25,27,22,39,70,L
1,21,18,17,36,37,37,23,23,19,36,64,L
1,23,19,17,43,44,45,24,31,24,36,67,M
1,22,17,15,33,33,37,25,24,23,41,68,S
1,23,19,15,37,36,39,24,22,20,36,65,M
1,22,17,16,35,36,37,25,22,23,36,67,S
1,22,18,19,32,35,39,22,27,24,38,68,L
1,23,21,17,42,38,44,28,22,18,37,66,M
1,20,19,16,44,42,46,28,19,20,38,64,M
2,21,15,15,35,38,40,22,18,19,34,60,M
2,22,18,20,31,32,32,21,18,19,35,61,L
2,23,19,23,32,37,40,23,19,22,37,59,M
2,23,16,17,40,41,45,21,22,21,37,65,XS
2,22,16,9,41,41,45,19,16,17,33,60,XS
2,19,9,16,20,18,21,19,11,9,16,35,M
1,22,18,17,37,20,38,24,17,19,35,64,L
2,24,19,15,46,48,63,20,22,15,34,60,M
2,22,17,10,37,38,42,19,21,18,35,59,S
1,19,16,14,22,13,28,18,21,12,34,52,XS
1,20,10,8,22,23,24,14,15,11,22,42,M
1,18,9,16,19,18,20,9,10,7,13,31,M
2,22,18,16,45,47,62,19,21,17,33,62,L
2,22,18,19,43,45,59,19,20,16,33,60,L
2,21,18,19,34,37,39,22,17,15,33,59,L
1,20,14,12,24,25,12,19,14,14,30,52,M
1,20,17,15,23,17,24,24,20,19,23,57,S
1,20,12,10,22,22,11,16,14,12,26,47,M
1,21,9,9,20,20,10,14,11,9,17,37,M
1,20,12,9,11,23,9,14,17,23,20,41,M
1,21,11,9,10,22,10,17,19,29,22,50,M
2,19,18,12,22,12,12,15,12,14,21,43,L
1,18,18,9,19,12,9,14,11,13,21,42,L
1,20,12,9,10,23,10,12,17,12,22,45,M
1,21,13,11,10,21,10,13,17,12,22,45,M
1,20,17,11,22,22,22,17,12,12,22,40,S
1,20,9,9,20,20,10,14,11,9,17,37,M
